tool	category	week	dates	description
codex	ai-cli	1	Jun 22-28	Lightweight coding agent that runs in your terminal from OpenAI.
eget	installer-help	1	Jun 22-28	Easily install prebuilt binaries from GitHub.
halp	installer-help	1	Jun 22-28	CLI tool to get help with CLI tools.
hoard	installer-help	1	Jun 22-28	CLI command organizer for saving useful commands.
shellcheck	installer-help	1	Jun 22-28	Static analysis tool for shell scripts.
gitnr	git-workflow	1	Jun 22-28	CLI and TUI to generate .gitignore files using templates.
git-cc	git-workflow	2	Jun 29-Jul 5	Git extension to help write conventional commits.
git-cliff	git-workflow	2	Jun 29-Jul 5	Changelog generator for Git repositories.
gistui	git-workflow	2	Jun 29-Jul 5	Terminal UI for managing GitHub Gists.
gitsocial	git-workflow	2	Jun 29-Jul 5	Social layer for Git repositories.
vignore	git-workflow	2	Jun 29-Jul 5	Tool to visualize ignored files.
tiki	git-workflow	2	Jun 29-Jul 5	Markdown based git versioned documentation and issue management.
glow	docs-markdown	3	Jul 6-12	Render Markdown on the CLI.
frogmouth	docs-markdown	3	Jul 6-12	Markdown browser for the terminal.
mdtt	docs-markdown	3	Jul 6-12	Markdown table editor TUI.
kyma	docs-markdown	3	Jul 6-12	Terminal-based presentation tool with animated transitions.
mdp	docs-markdown	3	Jul 6-12	Command-line based Markdown presentation tool.
spiel	docs-markdown	3	Jul 6-12	Display richly-styled presentations using the terminal.
carbon-now-cli	terminal-capture	4	Jul 13-19	Generate code images from the terminal.
silicon	terminal-capture	4	Jul 13-19	Create beautiful images of source code.
termframe	terminal-capture	4	Jul 13-19	Terminal output SVG screenshot tool.
imgcat	terminal-capture	4	Jul 13-19	Display images and GIFs in the terminal.
mcat	terminal-capture	4	Jul 13-19	Parse, convert, and preview images, videos, and Markdown in the terminal.
vhs	terminal-capture	4	Jul 13-19	CLI home video recorder.
t-rec	terminal-capture	4	Jul 13-19	Terminal recorder that generates animated GIF images.
dotstate	dotfiles-files	5	Jul 20-26	Modern secure dotfile manager.
pathos	dotfiles-files	5	Jul 20-26	Manage and edit terminal PATH variables.
hf	dotfiles-files	5	Jul 20-26	Cross-platform hidden file library and utility.
fat	dotfiles-files	5	Jul 20-26	Modern TUI file and archive viewer.
gomi	dotfiles-files	5	Jul 20-26	rm replacement that can restore deleted files.
hazelnut	dotfiles-files	5	Jul 20-26	Terminal based automated file organizer inspired by Hazel.
blueutil-tui	macos-system	6	Jul 27-Aug 2	TUI for macOS Bluetooth devices via blueutil.
humble-explorer	macos-system	6	Jul 27-Aug 2	Bluetooth LE scanner for the terminal.
mole	macos-system	6	Jul 27-Aug 2	Deep clean and optimize your Mac.
ugm	macos-system	6	Jul 27-Aug 2	TUI to view UNIX users and groups.
micasa	macos-system	6	Jul 27-Aug 2	Terminal UI for tracking home information.
